split	sample_id	scene_id	sentinel_request_id	sentinel_request_root	sentinel_date	planet_bounds
train	000012	lower__20200326_160123_90_2277_3B_AnalyticMS_SR_8b_clip	pm5__20200311_20200331__0002	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0002	2020-03-26	616179.00000000,3688485.00000000,616947.00000000,3689253.00000000
train	000028	lower__20200326_160123_90_2277_3B_AnalyticMS_SR_8b_clip	pm5__20200311_20200331__0002	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0002	2020-03-26	616947.00000000,3687717.00000000,617715.00000000,3688485.00000000
train	000044	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	684462.00000000,3793563.00000000,685230.00000000,3794331.00000000
train	000060	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	682926.00000000,3792795.00000000,683694.00000000,3793563.00000000
train	000076	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	683694.00000000,3792795.00000000,684462.00000000,3793563.00000000
train	000092	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	681390.00000000,3792027.00000000,682158.00000000,3792795.00000000
train	000108	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	682926.00000000,3792027.00000000,683694.00000000,3792795.00000000
train	000124	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	683694.00000000,3792027.00000000,684462.00000000,3792795.00000000
train	000140	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	684462.00000000,3792027.00000000,685230.00000000,3792795.00000000
train	000156	lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip	pm5__20200506_20200523__0006	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	2020-05-10	682158.00000000,3791259.00000000,682926.00000000,3792027.00000000
